ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2015-08-03,0.0,7.838987512392584,-22.688855840839135,28.918053669589387,7.838987512392584,7.838987512392584,-5.65076294823217,-5.65076294823217,-5.65076294823217,-5.65076294823217,-5.65076294823217,-5.65076294823217,2.1882245641604134
2015-08-04,0.0017391304347826088,7.897308040573903,-24.92182275340319,27.71286310246265,7.897308040573904,7.897308040573904,-6.101439029640887,-6.101439029640887,-6.101439029640887,-6.101439029640887,-6.101439029640887,-6.101439029640887,1.795869010933016
2015-08-05,0.0034782608695652175,7.955628568755224,-27.04593232393341,29.121856982002434,7.955628568755224,7.955628568755224,-6.531110619123104,-6.531110619123104,-6.531110619123104,-6.531110619123104,-6.531110619123104,-6.531110619123104,1.4245179496321203
2015-08-06,0.0052173913043478265,8.013949096936544,-25.91410603008187,27.293122109874766,8.013949096936544,8.013949096936544,-6.92816890024494,-6.92816890024494,-6.92816890024494,-6.92816890024494,-6.92816890024494,-6.92816890024494,1.085780196691604
2015-08-07,0.006956521739130435,8.072269625117864,-27.92164889850312,27.391009438289718,8.072269625117864,8.072269625117864,-7.282015804627054,-7.282015804627054,-7.282015804627054,-7.282015804627054,-7.282015804627054,-7.282015804627054,0.7902538204908094
2015-08-10,0.01217391304347826,8.247231209661823,-26.472937317533123,28.598145253492724,8.247231209661823,8.247231209661823,-7.999402342661563,-7.999402342661563,-7.999402342661563,-7.999402342661563,-7.999402342661563,-7.999402342661563,0.2478288670002602
2015-08-11,0.01391304347826087,8.305551737843144,-27.12103583040551,24.54322164771711,8.305551737843144,8.305551737843144,-8.104112541474771,-8.104112541474771,-8.104112541474771,-8.104112541474771,-8.104112541474771,-8.104112541474771,0.20143919636837282
2015-08-12,0.01565217391304348,8.363872266024464,-25.58547984948614,25.69837914954841,8.363872266024464,8.363872266024464,-8.136598543410004,-8.136598543410004,-8.136598543410004,-8.136598543410004,-8.136598543410004,-8.136598543410004,0.22727372261445922
2015-08-13,0.017391304347826087,8.422192794205785,-26.63890917494525,25.99777857124835,8.422192794205785,8.422192794205785,-8.09691447330148,-8.09691447330148,-8.09691447330148,-8.09691447330148,-8.09691447330148,-8.09691447330148,0.32527832090430486
2015-08-14,0.019130434782608695,8.480513322387104,-23.2786586216091,29.473221850543467,8.480513322387104,8.480513322387104,-7.9871519563367475,-7.9871519563367475,-7.9871519563367475,-7.9871519563367475,-7.9871519563367475,-7.9871519563367475,0.4933613660503564
2015-08-17,0.02434782608695652,8.655474906931065,-24.730607560379557,29.000531087682962,8.655474906931065,8.655474906931065,-7.286723485360369,-7.286723485360369,-7.286723485360368,-7.286723485360368,-7.286723485360368,-7.286723485360368,1.368751421570697
2015-08-18,0.02608695652173913,8.713795435112385,-24.91830192659658,27.966273775771292,8.713795435112385,8.713795435112385,-6.954221246898221,-6.954221246898221,-6.954221246898221,-6.954221246898221,-6.954221246898221,-6.954221246898221,1.7595741882141631
2015-08-19,0.02782608695652174,8.772115963293706,-24.706722064773626,27.932419055636363,8.772115963293706,8.772115963293706,-6.5878355918320715,-6.5878355918320715,-6.5878355918320715,-6.5878355918320715,-6.5878355918320715,-6.5878355918320715,2.184280371461634
2015-08-20,0.029565217391304348,8.830436491475025,-24.01060128973799,29.70174543822685,8.830436491475025,8.830436491475025,-6.198305900583042,-6.198305900583042,-6.198305900583042,-6.198305900583042,-6.198305900583042,-6.198305900583042,2.6321305908919825
2015-08-21,0.03130434782608696,8.889492721087649,-24.45848112368267,31.407914429218916,8.889492721087649,8.889492721087649,-5.796821066069892,-5.796821066069892,-5.796821066069891,-5.796821066069891,-5.796821066069891,-5.796821066069891,3.0926716550177575
2015-08-24,0.036521739130434785,9.06666140992552,-23.251597688497945,31.31867155765228,9.06666140992552,9.06666140992552,-4.631958552561984,-4.631958552561984,-4.631958552561984,-4.631958552561984,-4.631958552561984,-4.631958552561984,4.434702857363535
2015-08-25,0.03826086956521739,9.125717639538141,-18.425505378845095,30.29746289940009,9.125717639538141,9.125717639538141,-4.291385216814812,-4.291385216814812,-4.291385216814812,-4.291385216814812,-4.291385216814812,-4.291385216814812,4.834332422723329
2015-08-26,0.04,9.184773869150765,-20.59918108167506,32.08966738125085,9.184773869150765,9.184773869150765,-3.989509098579656,-3.989509098579656,-3.989509098579656,-3.989509098579656,-3.989509098579656,-3.989509098579656,5.195264770571109
2015-08-27,0.04173913043478261,9.243830098763388,-23.346690586109453,31.381730680929284,9.243830098763388,9.243830098763388,-3.7331909781556427,-3.7331909781556427,-3.7331909781556427,-3.7331909781556427,-3.7331909781556427,-3.7331909781556427,5.510639120607745
2015-08-28,0.043478260869565216,9.302886328376012,-20.816339358003688,32.8396669362418,9.302886328376012,9.302886328376012,-3.527609413885354,-3.527609413885354,-3.527609413885354,-3.527609413885354,-3.527609413885354,-3.527609413885354,5.775276914490657
2015-08-31,0.04869565217391304,9.480055017213882,-19.38846163430949,33.83147631415458,9.480055017213882,9.480055017213882,-3.238815504035025,-3.238815504035025,-3.238815504035025,-3.238815504035025,-3.238815504035025,-3.238815504035025,6.241239513178857
2015-09-01,0.050434782608695654,9.539111246826504,-19.49631482554006,33.24500952411767,9.539111246826504,9.539111246826504,-3.2498294355639903,-3.2498294355639903,-3.2498294355639903,-3.2498294355639903,-3.2498294355639903,-3.2498294355639903,6.289281811262514
2015-09-02,0.05217391304347826,9.598167476439128,-20.097185245294323,33.037701391582175,9.598167476439128,9.598167476439128,-3.3085747104454764,-3.3085747104454764,-3.3085747104454764,-3.3085747104454764,-3.3085747104454764,-3.3085747104454764,6.2895927659936515
2015-09-03,0.05391304347826087,9.657223706051752,-21.037860839146347,32.625427377117916,9.657223706051752,9.657223706051752,-3.4087751487310394,-3.4087751487310394,-3.4087751487310394,-3.4087751487310394,-3.4087751487310394,-3.4087751487310394,6.248448557320713
2015-09-04,0.05565217391304348,9.716279935664375,-22.773139276937734,31.223476212753603,9.716279935664375,9.716279935664375,-3.5425763373436796,-3.5425763373436796,-3.5425763373436796,-3.5425763373436796,-3.5425763373436796,-3.5425763373436796,6.173703598320695
2015-09-08,0.06260869565217392,9.952504854114869,-21.00722378167063,30.256461864721643,9.952504854114869,9.952504854114869,-4.216236271453651,-4.216236271453651,-4.216236271453651,-4.216236271453651,-4.216236271453651,-4.216236271453651,5.736268582661218
2015-09-09,0.06434782608695652,10.011561083727493,-20.16744100311336,32.01218478559396,10.011561083727493,10.011561083727493,-4.36422440890924,-4.36422440890924,-4.36422440890924,-4.36422440890924,-4.36422440890924,-4.36422440890924,5.647336674818253
2015-09-10,0.06608695652173913,10.070617315017035,-22.305058423417023,32.51465441102654,10.070617315017035,10.070617315017035,-4.4817467038025205,-4.4817467038025205,-4.4817467038025205,-4.4817467038025205,-4.4817467038025205,-4.4817467038025205,5.588870611214515
2015-09-11,0.06782608695652174,10.129673546306579,-20.594524377555377,34.240921204239555,10.129673546306579,10.129673546306579,-4.5585438420191595,-4.5585438420191595,-4.5585438420191595,-4.5585438420191595,-4.5585438420191595,-4.5585438420191595,5.5711297042874195
2015-09-14,0.07304347826086957,10.30684224017521,-20.67072543581671,35.158626078068316,10.30684224017521,10.30684224017521,-4.460076735571149,-4.460076735571149,-4.460076735571149,-4.460076735571149,-4.460076735571149,-4.460076735571149,5.84676550460406
2015-09-15,0.07478260869565218,10.365898471464753,-20.799161530217653,34.16560740618526,10.365898471464753,10.365898471464753,-4.297580941388703,-4.297580941388703,-4.297580941388703,-4.297580941388703,-4.297580941388703,-4.297580941388703,6.06831753007605
2015-09-16,0.07652173913043478,10.424954702754295,-20.887292770861105,36.03681241354634,10.424954702754295,10.424954702754295,-4.0651171801701365,-4.0651171801701365,-4.0651171801701365,-4.0651171801701365,-4.0651171801701365,-4.0651171801701365,6.359837522584159
2015-09-17,0.0782608695652174,10.48401093404384,-21.08007279440821,32.48397945958122,10.48401093404384,10.48401093404384,-3.7628961020755516,-3.7628961020755516,-3.7628961020755516,-3.7628961020755516,-3.7628961020755516,-3.7628961020755516,6.721114831968288
2015-09-18,0.08,10.543067165333381,-17.941738046701186,32.89219301206666,10.543067165333381,10.543067165333381,-3.3934412900270705,-3.3934412900270705,-3.3934412900270705,-3.3934412900270705,-3.3934412900270705,-3.3934412900270705,7.149625875306311
2015-09-21,0.08521739130434783,10.720235859202011,-16.982510809742298,36.15133071037357,10.720235859202011,10.720235859202011,-1.9410725100279682,-1.9410725100279682,-1.9410725100279682,-1.9410725100279682,-1.9410725100279682,-1.9410725100279682,8.779163349174043
2015-09-22,0.08695652173913043,10.779292090491557,-17.96569952849112,35.893225321181895,10.779292090491557,10.779292090491557,-1.372661632123713,-1.372661632123713,-1.372661632123713,-1.372661632123713,-1.372661632123713,-1.372661632123713,9.406630458367845
2015-09-23,0.08869565217391304,10.8383483217811,-18.197081705441953,34.64225254567907,10.8383483217811,10.8383483217811,-0.7818834170930037,-0.7818834170930037,-0.7818834170930037,-0.7818834170930037,-0.7818834170930037,-0.7818834170930037,10.056464904688095
2015-09-24,0.09043478260869565,10.897404553070643,-17.623811856112233,36.940467150111004,10.897404553070643,10.897404553070643,-0.18276996908252113,-0.18276996908252113,-0.18276996908252113,-0.18276996908252113,-0.18276996908252113,-0.18276996908252113,10.714634583988122
2015-09-25,0.09217391304347826,10.956460784360187,-14.782077872134593,37.614616017739486,10.956460784360187,10.956460784360187,0.4096857047214495,0.4096857047214495,0.40968570472144955,0.40968570472144955,0.40968570472144955,0.40968570472144955,11.366146489081636
2015-09-28,0.09739130434782609,11.133629478228817,-14.413959973589504,39.27389468068774,11.133629478228817,11.133629478228817,1.9912519114961966,1.9912519114961966,1.9912519114961966,1.9912519114961966,1.9912519114961966,1.9912519114961966,13.124881389725013
2015-09-29,0.09913043478260869,11.19268571736906,-11.549162411191833,41.330572663548026,11.19268571736906,11.19268571736906,2.402252136192521,2.402252136192521,2.402252136192521,2.402252136192521,2.402252136192521,2.402252136192521,13.59493785356158
